filename	label	group
blast_predictions.tsv	BLAST	BLAST
goa_nonexp_predictions.tsv	GOA Non-exp	GOA Non-exp
naive_predictions.tsv	Naive	Naive
prott5_predictions.tsv	ProtT5	ProtT5
transfew_predictions.tsv	TransFew	TransFew
funbind_predictions.tsv	FunBind	FunBind
