filename	ns	tau	n	tp	fp	fn	pr	rc	cov	mi	ru	f	s	pr_micro	rc_micro	f_micro	n_w	tp_w	fp_w	fn_w	pr_w	rc_w	cov_w	mi_w	ru_w	f_w	s_w	pr_micro_w	rc_micro_w	f_micro_w	cov_max
blast_predictions.tsv	biological_process	0.49	18.0	7.0	54.666666666666664	8.88888888888889	0.21755906534178054	0.37507174574367297	0.6666666666666666	54.666666666666664	8.88888888888889	0.2753831117577086	55.38462593647678	0.11351351351351352	0.4405594405594406	0.18051575931232092	18.0	5.772452770167899	67.26367976661268	11.710571385749528	0.16353525999084245	0.3468189931989315	0.6666666666666666	67.26367976661268	11.710571385749528	0.22226574528598805	68.27547215454578	0.07903557553873658	0.3301747294225475	0.12754101962670075	1.0
blast_predictions.tsv	cellular_component	0.6	18.0	3.230769230769231	10.653846153846153	4.730769230769231	0.32651641568308226	0.40187246963562756	0.6923076923076923	10.653846153846153	4.730769230769231	0.3602964322821	11.656955665379163	0.2326869806094183	0.4057971014492754	0.295774647887324	18.0	3.18777309001328	14.390748532779526	9.754746165098176	0.25438289019478516	0.2602185026272367	0.6923076923076923	14.390748532779526	9.754746165098176	0.2572676083034613	17.385301725284886	0.1813447773605673	0.24630236410537432	0.20889019498159195	1.0
blast_predictions.tsv	molecular_function	0.37	10.0	4.071428571428571	16.857142857142858	3.2857142857142856	0.2451028757664913	0.44563492063492066	0.7142857142857143	16.857142857142858	3.2857142857142856	0.3162600951001554	17.17437578701099	0.19453924914675766	0.5533980582524272	0.28787878787878785	10.0	6.754302263514035	33.86693881905394	6.412154149569594	0.22445228556334834	0.43326977140298745	0.7142857142857143	33.86693881905394	6.412154149569594	0.29571272371632645	34.46861276308325	0.16627513299716848	0.5129931738354613	0.2511467334722806	1.0
deepgoplus_predictions.tsv	biological_process	0.31	27.0	6.481481481481482	12.962962962962964	9.407407407407407	0.5871211912167177	0.4155173712873378	1.0	12.962962962962964	9.407407407407407	0.48663409353053716	16.016795026099736	0.3333333333333333	0.40792540792540793	0.3668763102725367	27.0	5.385053473049451	15.522133058609723	12.097970682867977	0.5509684830177837	0.3729489256111859	1.0	15.522133058609723	12.097970682867977	0.44480838193541616	19.679875744849557	0.25756949481916247	0.30801613182160986	0.2805430538984825	1.0
deepgoplus_predictions.tsv	cellular_component	0.15000000000000002	26.0	4.615384615384615	11.23076923076923	3.3461538461538463	0.30324339426868124	0.5278924629127059	1.0	11.23076923076923	3.3461538461538463	0.38520754670693264	11.71865705091343	0.2912621359223301	0.5797101449275361	0.38772213247172854	26.0	3.856981864984309	11.592816804224356	9.085537390127147	0.2540112799785146	0.35188266716177563	1.0	11.592816804224356	9.085537390127147	0.29504228292718193	14.72889646659603	0.2496460923255424	0.29800858619244863	0.2716919326745435	1.0
deepgoplus_predictions.tsv	molecular_function	0.11	13.0	4.214285714285714	4.928571428571429	3.142857142857143	0.45468128362865207	0.4936507936507937	0.9285714285714286	4.928571428571429	3.142857142857143	0.4733653577665617	5.845371446447076	0.46093750000000006	0.5728155339805825	0.5108225108225108	13.0	6.921801191630995	7.1067986658233755	6.244655221452633	0.5021570053553384	0.5265395596708403	0.9285714285714286	7.1067986658233755	6.244655221452633	0.5140593202597092	9.460565845199987	0.4934064170312022	0.5257148145610947	0.5090484919591646	1.0
funbind_predictions.tsv	biological_process	0.5700000000000001	27.0	6.407407407407407	6.407407407407407	9.481481481481481	0.5265724058386317	0.460924649061904	1.0	6.407407407407407	9.481481481481481	0.49156643083112883	11.44348551657997	0.5	0.40326340326340326	0.4464516129032258	27.0	5.770935559168625	7.2164954119730504	11.712088596748803	0.5145637430614909	0.43024382706478836	1.0	7.2164954119730504	11.712088596748803	0.46864119442643426	13.756846489262044	0.44434773682276013	0.33008794746847925	0.37878893079242393	1.0
funbind_predictions.tsv	cellular_component	0.6900000000000001	26.0	3.576923076923077	4.1923076923076925	4.384615384615385	0.6788037648361533	0.47624522351243	1.0	4.1923076923076925	4.384615384615385	0.5597633588990439	6.066324740564766	0.46039603960396036	0.4492753623188406	0.4547677261613692	26.0	3.0937147954850173	3.8489338070865857	9.84880445962644	0.631615467388764	0.30117275089459106	1.0	3.8489338070865857	9.84880445962644	0.40786400190844124	10.57417801700405	0.44561016588670277	0.23903497723313802	0.3111580266886904	1.0
funbind_predictions.tsv	molecular_function	0.12	14.0	5.5	9.142857142857142	1.8571428571428572	0.37922011491620994	0.6267857142857142	1.0	9.142857142857142	1.8571428571428572	0.47254149767269094	9.32956678128897	0.375609756097561	0.7475728155339806	0.5	14.0	7.784808761347425	17.176716217677825	5.381647651736204	0.3472863120277241	0.5675215075203123	1.0	17.176716217677825	5.381647651736204	0.43089367434685394	18.000047540772613	0.3118723222194505	0.5912607399521399	0.4083514771625754	1.0
goa_nonexp_predictions.tsv	biological_process	0.01	26.0	9.444444444444445	18.555555555555557	6.444444444444445	0.35189879333998964	0.6050370556579707	0.9629629629629629	18.555555555555557	6.444444444444445	0.44498658929951707	19.642797819374906	0.3373015873015873	0.5944055944055944	0.43037974683544306	26.0	9.544259707849964	23.12789029676778	7.938764448067463	0.33889439349805744	0.5823306781244163	0.9629629629629629	23.12789029676778	7.938764448067463	0.42844817853407663	24.45247002945153	0.29212218071051393	0.5459158337100133	0.38058923600986744	0.9629629629629629
