filename	ns	tau	n	tp	fp	fn	pr	rc	cov	mi	ru	f	s	pr_micro	rc_micro	f_micro	n_w	tp_w	fp_w	fn_w	pr_w	rc_w	cov_w	mi_w	ru_w	f_w	s_w	pr_micro_w	rc_micro_w	f_micro_w
deepgoplus_predictions.tsv	biological_process	0.01	800.0	10.56	45.5	6.2775	0.25568010559943877	0.6578882891862743	1.0	45.5	6.2775	0.3682459862049757	45.93100266976544	0.18836960399571887	0.6271714922048999	0.28972186974861963	800.0	9.707807843247938	49.58989685393799	8.21751764443291	0.23635658874059723	0.6020280336451532	1.0	49.58989685393799	8.21751764443291	0.3394463318128636	50.26614632355234	0.1637130457717133	0.5415694041326956	0.251422608514794
deepgoplus_predictions.tsv	biological_process	0.02	800.0	10.56	45.5	6.2775	0.25568010559943877	0.6578882891862743	1.0	45.5	6.2775	0.3682459862049757	45.93100266976544	0.18836960399571887	0.6271714922048999	0.28972186974861963	800.0	9.707807843247938	49.58989685393799	8.21751764443291	0.23635658874059723	0.6020280336451532	1.0	49.58989685393799	8.21751764443291	0.3394463318128636	50.26614632355234	0.1637130457717133	0.5415694041326956	0.251422608514794
deepgoplus_predictions.tsv	biological_process	0.03	800.0	10.56	45.5	6.2775	0.25568010559943877	0.6578882891862743	1.0	45.5	6.2775	0.3682459862049757	45.93100266976544	0.18836960399571887	0.6271714922048999	0.28972186974861963	800.0	9.707807843247938	49.58989685393799	8.21751764443291	0.23635658874059723	0.6020280336451532	1.0	49.58989685393799	8.21751764443291	0.3394463318128636	50.26614632355234	0.1637130457717133	0.5415694041326956	0.251422608514794
deepgoplus_predictions.tsv	biological_process	0.04	800.0	10.56	45.5	6.2775	0.25568010559943877	0.6578882891862743	1.0	45.5	6.2775	0.3682459862049757	45.93100266976544	0.18836960399571887	0.6271714922048999	0.28972186974861963	800.0	9.707807843247938	49.58989685393799	8.21751764443291	0.23635658874059723	0.6020280336451532	1.0	49.58989685393799	8.21751764443291	0.3394463318128636	50.26614632355234	0.1637130457717133	0.5415694041326956	0.251422608514794
deepgoplus_predictions.tsv	biological_process	0.05	800.0	10.56	45.5	6.2775	0.25568010559943877	0.6578882891862743	1.0	45.5	6.2775	0.3682459862049757	45.93100266976544	0.18836960399571887	0.6271714922048999	0.28972186974861963	800.0	9.707807843247938	49.58989685393799	8.21751764443291	0.23635658874059723	0.6020280336451532	1.0	49.58989685393799	8.21751764443291	0.3394463318128636	50.26614632355234	0.1637130457717133	0.5415694041326956	0.251422608514794
deepgoplus_predictions.tsv	biological_process	0.060000000000000005	800.0	10.56	45.5	6.2775	0.25568010559943877	0.6578882891862743	1.0	45.5	6.2775	0.3682459862049757	45.93100266976544	0.18836960399571887	0.6271714922048999	0.28972186974861963	800.0	9.707807843247938	49.58989685393799	8.21751764443291	0.23635658874059723	0.6020280336451532	1.0	49.58989685393799	8.21751764443291	0.3394463318128636	50.26614632355234	0.1637130457717133	0.5415694041326956	0.251422608514794
deepgoplus_predictions.tsv	biological_process	0.06999999999999999	800.0	10.56	45.5	6.2775	0.25568010559943877	0.6578882891862743	1.0	45.5	6.2775	0.3682459862049757	45.93100266976544	0.18836960399571887	0.6271714922048999	0.28972186974861963	800.0	9.707807843247938	49.58989685393799	8.21751764443291	0.23635658874059723	0.6020280336451532	1.0	49.58989685393799	8.21751764443291	0.3394463318128636	50.26614632355234	0.1637130457717133	0.5415694041326956	0.251422608514794
deepgoplus_predictions.tsv	biological_process	0.08	800.0	10.56	45.5	6.2775	0.25568010559943877	0.6578882891862743	1.0	45.5	6.2775	0.3682459862049757	45.93100266976544	0.18836960399571887	0.6271714922048999	0.28972186974861963	800.0	9.707807843247938	49.58989685393799	8.21751764443291	0.23635658874059723	0.6020280336451532	1.0	49.58989685393799	8.21751764443291	0.3394463318128636	50.26614632355234	0.1637130457717133	0.5415694041326956	0.251422608514794
deepgoplus_predictions.tsv	biological_process	0.09	800.0	10.56	45.5	6.2775	0.25568010559943877	0.6578882891862743	1.0	45.5	6.2775	0.3682459862049757	45.93100266976544	0.18836960399571887	0.6271714922048999	0.28972186974861963	800.0	9.707807843247938	49.58989685393799	8.21751764443291	0.23635658874059723	0.6020280336451532	1.0	49.58989685393799	8.21751764443291	0.3394463318128636	50.26614632355234	0.1637130457717133	0.5415694041326956	0.251422608514794
deepgoplus_predictions.tsv	biological_process	0.09999999999999999	800.0	10.56	45.5	6.2775	0.25568010559943877	0.6578882891862743	1.0	45.5	6.2775	0.3682459862049757	45.93100266976544	0.18836960399571887	0.6271714922048999	0.28972186974861963	800.0	9.707807843247938	49.58989685393799	8.21751764443291	0.23635658874059723	0.6020280336451532	1.0	49.58989685393799	8.21751764443291	0.3394463318128636	50.26614632355234	0.1637130457717133	0.5415694041326956	0.251422608514794
deepgoplus_predictions.tsv	biological_process	0.11	799.0	10.26875	40.43125	6.56875	0.2750602650367003	0.6412197910138844	0.99875	40.43125	6.56875	0.38497855431510036	40.96137757845798	0.20253944773175542	0.6098737936154418	0.30409032019248566	799.0	9.397157768346903	43.921436072865035	8.528167719333943	0.253937070870935	0.5838683743324793	0.99875	43.921436072865035	8.528167719333943	0.3539385560239855	44.74172763038838	0.17624541630509932	0.5242391707087878	0.2638023808029301
deepgoplus_predictions.tsv	biological_process	0.12	799.0	10.04375	35.93375	6.79375	0.29556306534395893	0.6287091172283442	0.99875	35.93375	6.79375	0.4020962599578559	36.57033535702127	0.21844924147680927	0.5965107646622123	0.3197882671336464	799.0	9.18327077472053	38.68094096682336	8.742054712960318	0.27177768857577295	0.5710943071374317	0.99875	38.68094096682336	8.742054712960318	0.36829006430866323	39.656509108635184	0.19186090067268116	0.5123070585821005	0.2791711619044853
deepgoplus_predictions.tsv	biological_process	0.13	797.0	9.805	32.35375	7.0325	0.31840094181732587	0.6151056686895818	0.99625	32.35375	7.0325	0.41960115123681735	33.10923127033456	0.23257330921813385	0.5823311061618411	0.33239400809373476	797.0	8.91264329873002	34.801892871953555	9.012682188950828	0.2940933500444241	0.5564953264479876	0.99625	34.801892871953555	9.012682188950828	0.38481954759625614	35.949967840179816	0.2038828289045678	0.4972095655867013	0.28918440304515475
deepgoplus_predictions.tsv	biological_process	0.14	797.0	9.535	29.21625	7.3025	0.3389866758298593	0.6003435157066269	0.99625	29.21625	7.3025	0.43330546506232587	30.115042259849147	0.24605657882003806	0.5662954714179659	0.3430550246227879	797.0	8.670899445075907	31.361473321935247	9.25442604260494	0.3134909511191663	0.5422160240548873	0.99625	31.361473321935247	9.25442604260494	0.3972851034863773	32.69841602127694	0.21659718986782614	0.4837234030163061	0.29921476201391245
deepgoplus_predictions.tsv	biological_process	0.15000000000000002	794.0	9.27	26.31375	7.5675	0.3586425163884504	0.5833358201423589	0.9925	26.31375	7.5675	0.4441907384109645	27.38029392304801	0.2605121719886184	0.5505567928730513	0.35367336719364767	794.0	8.369420123943293	28.187081340015354	9.555905363737555	0.330592696752416	0.5245080174713768	0.9925	28.187081340015354	9.555905363737555	0.4055627999832187	29.762843980193658	0.22894477832335167	0.46690477836484273	0.3072371318007513
deepgoplus_predictions.tsv	biological_process	0.16	792.0	9.07	24.3375	7.7675	0.3762935417818079	0.5712341210941382	0.99	24.3375	7.7675	0.453710681038499	25.546975603777444	0.27149592157449676	0.5386785449146252	0.36103094835307	792.0	8.173668142862336	26.041876092790673	9.751657344818511	0.34908306609441775	0.512187085971765	0.99	26.041876092790673	9.751657344818511	0.415191070899319	27.80780702254342	0.23888756778403877	0.4559843640484898	0.3135225087818008
deepgoplus_predictions.tsv	biological_process	0.17	791.0	8.84625	22.2975	7.99125	0.39899003961749635	0.5579475570616005	0.98875	22.2975	7.99125	0.4652665307937442	23.686253034460726	0.2840457555689344	0.5253897550111358	0.36873778819851505	791.0	7.960579455474994	23.91260396007234	9.964746032205854	0.3707544713503293	0.49844157198771905	0.98875	23.91260396007234	9.964746032205854	0.42521924239699177	25.905767536161317	0.2497579031152541	0.444096787026037	0.3197115588719545
