filename	ns	tau	n	tp	fp	fn	pr	rc	cov	mi	ru	f	s	pr_micro	rc_micro	f_micro	n_w	tp_w	fp_w	fn_w	pr_w	rc_w	cov_w	mi_w	ru_w	f_w	s_w	pr_micro_w	rc_micro_w	f_micro_w
naive_predictions.tsv	biological_process	0.01	696.0	4.155172413793103	50.8448275862069	13.336206896551724	0.07554858934169278	0.26364297344000615	1.0	50.8448275862069	13.336206896551724	0.11744310247516869	52.564730634321144	0.07554858934169278	0.23755544603252834	0.11463907717921272	696.0	3.175928225734249	27.646830242225935	17.64371635610933	0.1030384165335358	0.20408589526760088	1.0	27.646830242225935	17.64371635610933	0.1369392566930274	32.79707226715974	0.10303841653353579	0.15254478592319085	0.12299691874026057
naive_predictions.tsv	biological_process	0.02	696.0	1.7298850574712643	21.270114942528735	15.761494252873563	0.07521239380309844	0.08639053103869873	1.0	21.270114942528735	15.761494252873563	0.08041486436835642	26.47342990153997	0.07521239380309845	0.09889929357647446	0.08544461003477397	696.0	0.6524539352352529	4.585264907328755	20.167190646608326	0.12456833878388529	0.04882946127728882	1.0	4.585264907328755	20.167190646608326	0.07015780907114164	20.681881753047204	0.12456833878388529	0.03133838008955473	0.05007827726915057
naive_predictions.tsv	biological_process	0.03	696.0	0.004310344827586207	0.9956896551724138	17.487068965517242	0.004310344827586207	0.00011215532943910558	1.0	0.9956896551724138	17.487068965517242	0.00021862210377364557	17.51539262746267	0.004310344827586207	0.00024642681123706255	0.0004662004662004661	696.0	0.00018743170224445101	0.04329672321846817	20.819457150141336	0.004310344827586207	1.390795242543872e-05	1.0	0.04329672321846817	20.819457150141336	2.7726441468180492e-05	20.819502170628688	0.004310344827586209	9.002636981032168e-06	1.7967746315457018e-05
naive_predictions.tsv	molecular_function	0.01	400.0	1.53	36.47	4.9	0.04026315789473684	0.2657063990286497	1.0	36.47	4.9	0.06992969369440406	36.79770237392547	0.04026315789473684	0.23794712286158629	0.0688723835246455	400.0	1.5812385638156443	45.40928084770778	9.919980515454489	0.03365016142868767	0.18949710497075553	1.0	45.40928084770778	9.919980515454489	0.057151568786153024	46.48019793990767	0.03365016142868766	0.13748443125178603	0.054067073559953334
naive_predictions.tsv	molecular_function	0.02	400.0	0.7025	5.2975	5.7275	0.11708333333333332	0.13067558996842885	1.0	5.2975	5.7275	0.12350662050761925	7.801779444460091	0.11708333333333333	0.10925349922239504	0.11303298471440065	400.0	0.37837984267207836	5.15436926804264	11.122839236598054	0.0683891199655716	0.04987252109342519	1.0	5.15436926804264	11.122839236598054	0.05768121932862832	12.259081337300426	0.06838911996557158	0.0328991074827948	0.04442650572689778
naive_predictions.tsv	molecular_function	0.03	400.0	0.535	2.465	5.895	0.17833333333333332	0.10008818797357799	1.0	2.465	5.895	0.1282160955434614	6.38962048951266	0.17833333333333334	0.08320373250388803	0.1134676564156946	400.0	0.22552953587089916	3.3286820543288558	11.275689543399233	0.06345416702054699	0.02725486245521813	1.0	3.3286820543288558	11.275689543399233	0.03813147609119778	11.756755457945605	0.06345416702054699	0.01960918527996697	0.02995989165932511
naive_predictions.tsv	molecular_function	0.04	400.0	0.535	2.465	5.895	0.17833333333333332	0.10008818797357799	1.0	2.465	5.895	0.1282160955434614	6.38962048951266	0.17833333333333334	0.08320373250388803	0.1134676564156946	400.0	0.22552953587089916	3.3286820543288558	11.275689543399233	0.06345416702054699	0.02725486245521813	1.0	3.3286820543288558	11.275689543399233	0.03813147609119778	11.756755457945605	0.06345416702054699	0.01960918527996697	0.02995989165932511
naive_predictions.tsv	molecular_function	0.05	400.0	0.535	2.465	5.895	0.17833333333333332	0.10008818797357799	1.0	2.465	5.895	0.1282160955434614	6.38962048951266	0.17833333333333334	0.08320373250388803	0.1134676564156946	400.0	0.22552953587089916	3.3286820543288558	11.275689543399233	0.06345416702054699	0.02725486245521813	1.0	3.3286820543288558	11.275689543399233	0.03813147609119778	11.756755457945605	0.06345416702054699	0.01960918527996697	0.02995989165932511
naive_predictions.tsv	molecular_function	0.060000000000000005	400.0	0.535	2.465	5.895	0.17833333333333332	0.10008818797357799	1.0	2.465	5.895	0.1282160955434614	6.38962048951266	0.17833333333333334	0.08320373250388803	0.1134676564156946	400.0	0.22552953587089916	3.3286820543288558	11.275689543399233	0.06345416702054699	0.02725486245521813	1.0	3.3286820543288558	11.275689543399233	0.03813147609119778	11.756755457945605	0.06345416702054699	0.01960918527996697	0.02995989165932511
naive_predictions.tsv	molecular_function	0.06999999999999999	400.0	0.5225	1.4775	5.9075	0.26125	0.09787862915004858	1.0	1.4775	5.9075	0.1424046416236361	6.089463235786878	0.26125	0.0812597200622084	0.1239620403321471	400.0	0.1890760546112579	0.4488570348171957	11.312143024658873	0.2963885362658608	0.02264921855041692	1.0	0.4488570348171957	11.312143024658873	0.04208259763857358	11.321044671232565	0.29638853626586087	0.016439653336579752	0.031151443195316396
